text,entities
Abuwa,"[[0, 5, 'LOCATION']]"
Achalgadh,"[[0, 9, 'LOCATION']]"
Achalkot,"[[0, 8, 'LOCATION']]"
Achalsain,"[[0, 9, 'LOCATION']]"
Achalsaina,"[[0, 10, 'LOCATION']]"
Achane,"[[0, 6, 'LOCATION']]"
Achanetar,"[[0, 9, 'LOCATION']]"
Acharya,"[[0, 7, 'LOCATION']]"
Acharya Lihi,"[[0, 12, 'LOCATION']]"
Acharyabada,"[[0, 11, 'LOCATION']]"
Acharyagau,"[[0, 10, 'LOCATION']]"
Acharyagaun,"[[0, 11, 'LOCATION']]"
Acharyapokhari,"[[0, 14, 'LOCATION']]"
Acharyathai,"[[0, 11, 'LOCATION']]"
Acharyatol,"[[0, 10, 'LOCATION']]"
Acharyatola,"[[0, 11, 'LOCATION']]"
Achhabang,"[[0, 9, 'LOCATION']]"
Achhambada,"[[0, 10, 'LOCATION']]"
Achhambu,"[[0, 8, 'LOCATION']]"
Achhamepakha,"[[0, 12, 'LOCATION']]"
Achhamidanda,"[[0, 12, 'LOCATION']]"
Achhariya,"[[0, 9, 'LOCATION']]"
Achheta,"[[0, 7, 'LOCATION']]"
Achmara,"[[0, 7, 'LOCATION']]"
Achrangaun,"[[0, 10, 'LOCATION']]"
Adabari,"[[0, 7, 'LOCATION']]"
Adad,"[[0, 4, 'LOCATION']]"
Adalas,"[[0, 6, 'LOCATION']]"
Adalat Chowk,"[[0, 12, 'LOCATION']]"
Adam,"[[0, 4, 'LOCATION']]"
Adamar,"[[0, 6, 'LOCATION']]"
Adamara,"[[0, 7, 'LOCATION']]"
Adamghat,"[[0, 8, 'LOCATION']]"
Adammara,"[[0, 8, 'LOCATION']]"
Adamtar,"[[0, 7, 'LOCATION']]"
Adanda,"[[0, 6, 'LOCATION']]"
Adarbedda,"[[0, 9, 'LOCATION']]"
Adarsa Nagar,"[[0, 12, 'LOCATION']]"
Adarsh Chowk,"[[0, 12, 'LOCATION']]"
Adarsha Bajar,"[[0, 13, 'LOCATION']]"
Adarsha Basti,"[[0, 13, 'LOCATION']]"
Adarsha Nagar,"[[0, 13, 'LOCATION']]"
Adarsha Nayatol,"[[0, 15, 'LOCATION']]"
Adarsha Tole,"[[0, 12, 'LOCATION']]"
Adarshachok,"[[0, 11, 'LOCATION']]"
Adarshatol,"[[0, 10, 'LOCATION']]"
Adarshnagar,"[[0, 11, 'LOCATION']]"
Adarshnagar Chowk,"[[0, 17, 'LOCATION']]"
Adarshtol,"[[0, 9, 'LOCATION']]"
Adawari Jahada,"[[0, 14, 'LOCATION']]"
Adbari,"[[0, 6, 'LOCATION']]"
Adbise,"[[0, 6, 'LOCATION']]"
Addakuna,"[[0, 8, 'LOCATION']]"
Addanda,"[[0, 7, 'LOCATION']]"
Adderi,"[[0, 6, 'LOCATION']]"
Adebas,"[[0, 6, 'LOCATION']]"
Adekhalta,"[[0, 9, 'LOCATION']]"
Adekhan,"[[0, 7, 'LOCATION']]"
Adekuna,"[[0, 7, 'LOCATION']]"
Adela,"[[0, 5, 'LOCATION']]"
Ademba,"[[0, 6, 'LOCATION']]"
Adembabirta,"[[0, 11, 'LOCATION']]"
Aderwa,"[[0, 6, 'LOCATION']]"
Adesain,"[[0, 7, 'LOCATION']]"
Adgada,"[[0, 6, 'LOCATION']]"
Adguri,"[[0, 6, 'LOCATION']]"
Adha,"[[0, 4, 'LOCATION']]"
Adhabar,"[[0, 7, 'LOCATION']]"
Adhabhat,"[[0, 8, 'LOCATION']]"
Adhaigaun,"[[0, 9, 'LOCATION']]"
Adhakari Ward,"[[0, 13, 'LOCATION']]"
Adhalne,"[[0, 7, 'LOCATION']]"
Adhamar,"[[0, 7, 'LOCATION']]"
Adhamara,"[[0, 8, 'LOCATION']]"
Adhamari,"[[0, 8, 'LOCATION']]"
Adhamera,"[[0, 8, 'LOCATION']]"
Adhanawa,"[[0, 8, 'LOCATION']]"
Adhara,"[[0, 6, 'LOCATION']]"
Adheibesi,"[[0, 9, 'LOCATION']]"
Adhere,"[[0, 6, 'LOCATION']]"
Adheri,"[[0, 6, 'LOCATION']]"
Adheri Bhanjyang,"[[0, 16, 'LOCATION']]"
Adheribesi,"[[0, 10, 'LOCATION']]"
Adherigaun,"[[0, 10, 'LOCATION']]"
Adherikholagaun,"[[0, 15, 'LOCATION']]"
Adherimela,"[[0, 10, 'LOCATION']]"
Adherineta,"[[0, 10, 'LOCATION']]"
Adheshwar,"[[0, 9, 'LOCATION']]"
Adhi Mahan,"[[0, 10, 'LOCATION']]"
Adhibhari,"[[0, 9, 'LOCATION']]"
Adhikari Bada,"[[0, 13, 'LOCATION']]"
Adhikari Basti,"[[0, 14, 'LOCATION']]"
Adhikari Chowk,"[[0, 14, 'LOCATION']]"
Adhikari Danda (Bharati Danda),"[[0, 30, 'LOCATION']]"
Adhikari Gaun,"[[0, 13, 'LOCATION']]"
Adhikari Tar,"[[0, 12, 'LOCATION']]"
Adhikari Tol,"[[0, 12, 'LOCATION']]"
Adhikari chowk,"[[0, 14, 'LOCATION']]"
Adhikarichok,"[[0, 12, 'LOCATION']]"
Adhikaridada,"[[0, 12, 'LOCATION']]"
Adhikaridanda,"[[0, 13, 'LOCATION']]"
Adhikarigau,"[[0, 11, 'LOCATION']]"
Adhikarigaun,"[[0, 12, 'LOCATION']]"
Adhikaripakha,"[[0, 13, 'LOCATION']]"
Adhikarithok,"[[0, 12, 'LOCATION']]"
Adhikaritol,"[[0, 11, 'LOCATION']]"
Adhikharka,"[[0, 10, 'LOCATION']]"
Adhiyakhet,"[[0, 10, 'LOCATION']]"
Adhiyari,"[[0, 8, 'LOCATION']]"
Adhmara,"[[0, 7, 'LOCATION']]"
Adhmare Manpur,"[[0, 14, 'LOCATION']]"
Adhmare Pallo,"[[0, 13, 'LOCATION']]"
Adhyanpur,"[[0, 9, 'LOCATION']]"
Adi,"[[0, 3, 'LOCATION']]"
Adi Purung,"[[0, 10, 'LOCATION']]"
Adikarigaun,"[[0, 11, 'LOCATION']]"
Adin Goth,"[[0, 9, 'LOCATION']]"
Adipur Khalange,"[[0, 15, 'LOCATION']]"
Adipur Loktapa,"[[0, 14, 'LOCATION']]"
Adiyamahal,"[[0, 10, 'LOCATION']]"
Adkatya,"[[0, 7, 'LOCATION']]"
Admara,"[[0, 6, 'LOCATION']]"
Admaragaun,"[[0, 10, 'LOCATION']]"
Admoya,"[[0, 6, 'LOCATION']]"
Adswanra,"[[0, 8, 'LOCATION']]"
Adtola,"[[0, 6, 'LOCATION']]"
Adukali,"[[0, 7, 'LOCATION']]"
Aduradi,"[[0, 7, 'LOCATION']]"
Aduwabari,"[[0, 9, 'LOCATION']]"
Aduwakharka,"[[0, 11, 'LOCATION']]"
Aduwari,"[[0, 7, 'LOCATION']]"
Advance Tol,"[[0, 11, 'LOCATION']]"
Adwait(अदैत) Chowk,"[[0, 18, 'LOCATION']]"
Adwaitachok,"[[0, 11, 'LOCATION']]"
Aehakli,"[[0, 7, 'LOCATION']]"
Aerahiti,"[[0, 8, 'LOCATION']]"
Aerpani,"[[0, 7, 'LOCATION']]"
Aerpata,"[[0, 7, 'LOCATION']]"
Agabari,"[[0, 7, 'LOCATION']]"
Agadi,"[[0, 5, 'LOCATION']]"
Agaha Khola,"[[0, 11, 'LOCATION']]"
Agahakhota Gaun,"[[0, 15, 'LOCATION']]"
Agakhet,"[[0, 7, 'LOCATION']]"
Agal Gauwa,"[[0, 10, 'LOCATION']]"
Agalesawa,"[[0, 9, 'LOCATION']]"
Agaleswara,"[[0, 10, 'LOCATION']]"
Agami,"[[0, 5, 'LOCATION']]"
Agar,"[[0, 4, 'LOCATION']]"
Agara,"[[0, 5, 'LOCATION']]"
Agarase,"[[0, 7, 'LOCATION']]"
Agarase Sinkaule,"[[0, 16, 'LOCATION']]"
Agarathe,"[[0, 8, 'LOCATION']]"
Agare,"[[0, 5, 'LOCATION']]"
Agare Chautari,"[[0, 14, 'LOCATION']]"
Agarpani,"[[0, 8, 'LOCATION']]"
Agartola,"[[0, 8, 'LOCATION']]"
Agartoli,"[[0, 8, 'LOCATION']]"
Agarwa,"[[0, 6, 'LOCATION']]"
Agasthi Bada,"[[0, 12, 'LOCATION']]"
Agasthi Bada Goth,"[[0, 17, 'LOCATION']]"
Agaupani,"[[0, 8, 'LOCATION']]"
Agaute,"[[0, 6, 'LOCATION']]"
Age,"[[0, 3, 'LOCATION']]"
Age Dhungo,"[[0, 10, 'LOCATION']]"
Age Rumta,"[[0, 9, 'LOCATION']]"
Age Shikhar,"[[0, 11, 'LOCATION']]"
Agedin,"[[0, 6, 'LOCATION']]"
Agegau,"[[0, 6, 'LOCATION']]"
Agegaun,"[[0, 7, 'LOCATION']]"
Agejung,"[[0, 7, 'LOCATION']]"
Agepur,"[[0, 6, 'LOCATION']]"
Ageri Bisauna,"[[0, 13, 'LOCATION']]"
Agerithumka,"[[0, 11, 'LOCATION']]"
Aghaiya,"[[0, 7, 'LOCATION']]"
Aghara,"[[0, 6, 'LOCATION']]"
Agheni,"[[0, 6, 'LOCATION']]"
Aghor,"[[0, 5, 'LOCATION']]"
Aghoritol,"[[0, 9, 'LOCATION']]"
Agida,"[[0, 5, 'LOCATION']]"
Aginaregada,"[[0, 11, 'LOCATION']]"
Aginchowk,"[[0, 9, 'LOCATION']]"
Aginnetra,"[[0, 9, 'LOCATION']]"
Agitar,"[[0, 6, 'LOCATION']]"
Aglungaun,"[[0, 9, 'LOCATION']]"
Aglunggaun,"[[0, 10, 'LOCATION']]"
Agne,"[[0, 4, 'LOCATION']]"
Agopadne,"[[0, 8, 'LOCATION']]"
Agra,"[[0, 4, 'LOCATION']]"
Agra Gaun,"[[0, 9, 'LOCATION']]"
Agrabhanjyang,"[[0, 13, 'LOCATION']]"
Agrachaur,"[[0, 9, 'LOCATION']]"
Agrakha,"[[0, 7, 'LOCATION']]"
Agrakhe,"[[0, 7, 'LOCATION']]"
Agrala,"[[0, 6, 'LOCATION']]"
Agrale,"[[0, 6, 'LOCATION']]"
Agrapakha,"[[0, 9, 'LOCATION']]"
Agraute,"[[0, 7, 'LOCATION']]"
Agri,"[[0, 4, 'LOCATION']]"
Agri Padhera,"[[0, 12, 'LOCATION']]"
Agribang,"[[0, 8, 'LOCATION']]"
Agridanda,"[[0, 9, 'LOCATION']]"
Agrigaun,"[[0, 8, 'LOCATION']]"
Agrikharka,"[[0, 10, 'LOCATION']]"
Agrikholagau,"[[0, 12, 'LOCATION']]"
Agritar,"[[0, 7, 'LOCATION']]"
AgroWard,"[[0, 8, 'LOCATION']]"
Agthali,"[[0, 7, 'LOCATION']]"
Agu,"[[0, 3, 'LOCATION']]"
Agyauli,"[[0, 7, 'LOCATION']]"
Ahal,"[[0, 4, 'LOCATION']]"
Ahala,"[[0, 5, 'LOCATION']]"
Ahaldamar,"[[0, 9, 'LOCATION']]"
Ahaldanda,"[[0, 9, 'LOCATION']]"
Ahaldanda Deurqli,"[[0, 17, 'LOCATION']]"
Ahaldandabesi,"[[0, 13, 'LOCATION']]"
Ahale,"[[0, 5, 'LOCATION']]"
Ahale Banspur,"[[0, 13, 'LOCATION']]"
Ahale Bhaanjyang,"[[0, 16, 'LOCATION']]"
Ahale Bhanjyang,"[[0, 15, 'LOCATION']]"
Ahale Bhanjyang Bajar,"[[0, 21, 'LOCATION']]"
Ahaledamar,"[[0, 10, 'LOCATION']]"
Ahaledanda,"[[0, 10, 'LOCATION']]"
Ahalekhop,"[[0, 9, 'LOCATION']]"
Ahalepakha,"[[0, 10, 'LOCATION']]"
Ahaletar,"[[0, 8, 'LOCATION']]"
Ahaletol,"[[0, 8, 'LOCATION']]"
Ahalkholagau,"[[0, 12, 'LOCATION']]"
Ahalkholagaun,"[[0, 13, 'LOCATION']]"
Ahaltar,"[[0, 7, 'LOCATION']]"
Ahaltol,"[[0, 7, 'LOCATION']]"
Aharauli,"[[0, 8, 'LOCATION']]"
Ahirandihitola,"[[0, 14, 'LOCATION']]"
Ahirapur,"[[0, 8, 'LOCATION']]"
Ahirauli,"[[0, 8, 'LOCATION']]"
Ahiredanda,"[[0, 10, 'LOCATION']]"
Aibahani,"[[0, 8, 'LOCATION']]"
Aibang,"[[0, 6, 'LOCATION']]"
Aichawal,"[[0, 8, 'LOCATION']]"
Aichekanda,"[[0, 10, 'LOCATION']]"
Aichhena,"[[0, 8, 'LOCATION']]"
Aidanda,"[[0, 7, 'LOCATION']]"
Aidigau,"[[0, 7, 'LOCATION']]"
Aidiwada,"[[0, 8, 'LOCATION']]"
Aidungra,"[[0, 8, 'LOCATION']]"
Aiju,"[[0, 4, 'LOCATION']]"
Aiku,"[[0, 4, 'LOCATION']]"
Ailani,"[[0, 6, 'LOCATION']]"
Ailani Godar,"[[0, 12, 'LOCATION']]"
Ailani Tol,"[[0, 10, 'LOCATION']]"
Ailanibasti,"[[0, 11, 'LOCATION']]"
Ailanitol,"[[0, 9, 'LOCATION']]"
Ailanpur,"[[0, 8, 'LOCATION']]"
Aili,"[[0, 4, 'LOCATION']]"
Ailyan Katan,"[[0, 12, 'LOCATION']]"
Aimantar,"[[0, 8, 'LOCATION']]"
Ainabari,"[[0, 8, 'LOCATION']]"
Ainapani,"[[0, 8, 'LOCATION']]"
Aindakot,"[[0, 8, 'LOCATION']]"
Aingtar,"[[0, 7, 'LOCATION']]"
Aini,"[[0, 4, 'LOCATION']]"
Ainselu,"[[0, 7, 'LOCATION']]"
Ainseludanda,"[[0, 12, 'LOCATION']]"
Ainselukhaka,"[[0, 12, 'LOCATION']]"
Ainselukharka,"[[0, 13, 'LOCATION']]"
Ainseluthumka,"[[0, 13, 'LOCATION']]"
Aintalo,"[[0, 7, 'LOCATION']]"
Aipe,"[[0, 4, 'LOCATION']]"
Aipung,"[[0, 6, 'LOCATION']]"
Airabati,"[[0, 8, 'LOCATION']]"
Airadi,"[[0, 6, 'LOCATION']]"
Airado,"[[0, 6, 'LOCATION']]"
Airambas,"[[0, 8, 'LOCATION']]"
Airame,"[[0, 6, 'LOCATION']]"
Airana,"[[0, 6, 'LOCATION']]"
Airani,"[[0, 6, 'LOCATION']]"
Airanla,"[[0, 7, 'LOCATION']]"
Airanu,"[[0, 6, 'LOCATION']]"
Airaro,"[[0, 6, 'LOCATION']]"
Airawat Tole,"[[0, 12, 'LOCATION']]"
Aire Bhanjyang,"[[0, 14, 'LOCATION']]"
Airegada,"[[0, 8, 'LOCATION']]"
Airelu,"[[0, 6, 'LOCATION']]"
Airenikholagaun,"[[0, 15, 'LOCATION']]"
Airi,"[[0, 4, 'LOCATION']]"
Airichhana,"[[0, 10, 'LOCATION']]"
Airigau,"[[0, 7, 'LOCATION']]"
Airigaun,"[[0, 8, 'LOCATION']]"
Airikhet,"[[0, 8, 'LOCATION']]"
Airikot,"[[0, 7, 'LOCATION']]"
Airlek,"[[0, 6, 'LOCATION']]"
Airoda,"[[0, 6, 'LOCATION']]"
Airport,"[[0, 7, 'LOCATION']]"
Airport Basti,"[[0, 13, 'LOCATION']]"
Airport Chowk,"[[0, 13, 'LOCATION']]"
Airport Ghumti,"[[0, 14, 'LOCATION']]"
Aiselichaur,"[[0, 11, 'LOCATION']]"
Aiselu,"[[0, 6, 'LOCATION']]"
Aiselugara,"[[0, 10, 'LOCATION']]"
Aiselujagar,"[[0, 11, 'LOCATION']]"
Aiselukharka,"[[0, 12, 'LOCATION']]"
Aishwaryanagar,"[[0, 14, 'LOCATION']]"
Aita,"[[0, 4, 'LOCATION']]"
Aitabare,"[[0, 8, 'LOCATION']]"
Aitabare Peltimari,"[[0, 18, 'LOCATION']]"
Aitada,"[[0, 6, 'LOCATION']]"
Aitapur,"[[0, 7, 'LOCATION']]"
Aitar,"[[0, 5, 'LOCATION']]"
Aiteahal,"[[0, 8, 'LOCATION']]"
Aitekhal,"[[0, 8, 'LOCATION']]"
Aitekharka,"[[0, 10, 'LOCATION']]"
Aitha,"[[0, 5, 'LOCATION']]"
Aithpur,"[[0, 7, 'LOCATION']]"
Aithpur Chok,"[[0, 12, 'LOCATION']]"
Aiti,"[[0, 4, 'LOCATION']]"
Aiyabari,"[[0, 8, 'LOCATION']]"
Aiyabari Girigaun,"[[0, 17, 'LOCATION']]"
Ajagaiwa,"[[0, 8, 'LOCATION']]"
Ajama,"[[0, 5, 'LOCATION']]"
Ajamarpatti,"[[0, 11, 'LOCATION']]"
Ajamir,"[[0, 6, 'LOCATION']]"
Ajammare Thumka,"[[0, 15, 'LOCATION']]"
Ajatotki,"[[0, 8, 'LOCATION']]"
Ajayatodki,"[[0, 10, 'LOCATION']]"
Ajaymerukot,"[[0, 11, 'LOCATION']]"
Ajbun,"[[0, 5, 'LOCATION']]"
Ajek,"[[0, 4, 'LOCATION']]"
Ajga,"[[0, 4, 'LOCATION']]"
Ajgada,"[[0, 6, 'LOCATION']]"
Ajgaibi,"[[0, 7, 'LOCATION']]"
Ajgapal,"[[0, 7, 'LOCATION']]"
Ajgarawa,"[[0, 8, 'LOCATION']]"
Ajgaun,"[[0, 6, 'LOCATION']]"
Ajgewa,"[[0, 6, 'LOCATION']]"
Ajibung,"[[0, 7, 'LOCATION']]"
Ajigara,"[[0, 7, 'LOCATION']]"
Ajigare,"[[0, 7, 'LOCATION']]"
Ajimara,"[[0, 7, 'LOCATION']]"
Ajingar,"[[0, 7, 'LOCATION']]"
Ajingare,"[[0, 8, 'LOCATION']]"
Ajingaretol,"[[0, 11, 'LOCATION']]"
Ajinggar,"[[0, 8, 'LOCATION']]"
Ajira,"[[0, 5, 'LOCATION']]"
Ajirkot,"[[0, 7, 'LOCATION']]"
Ajmir,"[[0, 5, 'LOCATION']]"
Ajok,"[[0, 4, 'LOCATION']]"
Ajukholagaun,"[[0, 12, 'LOCATION']]"
Ajuwa Tol,"[[0, 9, 'LOCATION']]"
Akabarpur,"[[0, 9, 'LOCATION']]"
Akadpathar,"[[0, 10, 'LOCATION']]"
Akaha,"[[0, 5, 'LOCATION']]"
Akaldanda,"[[0, 9, 'LOCATION']]"
Akale Sangu,"[[0, 11, 'LOCATION']]"
Akalgharwa,"[[0, 10, 'LOCATION']]"
Akali,"[[0, 5, 'LOCATION']]"
Akang,"[[0, 5, 'LOCATION']]"
Akanuwa,"[[0, 7, 'LOCATION']]"
Akarpathar,"[[0, 10, 'LOCATION']]"
Akase,"[[0, 5, 'LOCATION']]"
Akase Bhanjyang,"[[0, 15, 'LOCATION']]"
Akasedada,"[[0, 9, 'LOCATION']]"
Akasepakha,"[[0, 10, 'LOCATION']]"
Akash Marg Tole,"[[0, 15, 'LOCATION']]"
Akashe,"[[0, 6, 'LOCATION']]"
Akashegaun,"[[0, 10, 'LOCATION']]"
Akashi,"[[0, 6, 'LOCATION']]"
Akashtol,"[[0, 8, 'LOCATION']]"
Akasya,"[[0, 6, 'LOCATION']]"
Akaunha,"[[0, 7, 'LOCATION']]"
Akaura,"[[0, 6, 'LOCATION']]"
Akawa,"[[0, 5, 'LOCATION']]"
Akawantol,"[[0, 9, 'LOCATION']]"
Akbare,"[[0, 6, 'LOCATION']]"
Akboni,"[[0, 6, 'LOCATION']]"
Akchewa,"[[0, 7, 'LOCATION']]"
Aket,"[[0, 4, 'LOCATION']]"
Akhada,"[[0, 6, 'LOCATION']]"
Akhate,"[[0, 6, 'LOCATION']]"
Akhilanandtol,"[[0, 13, 'LOCATION']]"
Akhisalla Pokla,"[[0, 15, 'LOCATION']]"
Akhisalla Thalthale,"[[0, 19, 'LOCATION']]"
Akhiya Goth,"[[0, 11, 'LOCATION']]"
Akhta,"[[0, 5, 'LOCATION']]"
Akhtare,"[[0, 7, 'LOCATION']]"
Akhtran,"[[0, 7, 'LOCATION']]"
Akhuwatar,"[[0, 9, 'LOCATION']]"
Akhyu village,"[[0, 13, 'LOCATION']]"
Akiama,"[[0, 6, 'LOCATION']]"
Akido,"[[0, 5, 'LOCATION']]"
Akkar Bajar,"[[0, 11, 'LOCATION']]"
Akkare Bajar,"[[0, 12, 'LOCATION']]"
Akkasi,"[[0, 6, 'LOCATION']]"
Aklan,"[[0, 5, 'LOCATION']]"
Akolwa,"[[0, 6, 'LOCATION']]"
Akrang,"[[0, 6, 'LOCATION']]"
Aksagaun,"[[0, 8, 'LOCATION']]"
Akura,"[[0, 5, 'LOCATION']]"
Akyan,"[[0, 5, 'LOCATION']]"
Al,"[[0, 2, 'LOCATION']]"
Ala,"[[0, 3, 'LOCATION']]"
Ala Gothibang,"[[0, 13, 'LOCATION']]"
Ala Nagar,"[[0, 9, 'LOCATION']]"
Alaban,"[[0, 6, 'LOCATION']]"
Alad,"[[0, 4, 'LOCATION']]"
Aladhunga,"[[0, 9, 'LOCATION']]"
Aladi,"[[0, 5, 'LOCATION']]"
Alaga,"[[0, 5, 'LOCATION']]"
Alagi,"[[0, 5, 'LOCATION']]"
Alahal,"[[0, 6, 'LOCATION']]"
Alahawal,"[[0, 8, 'LOCATION']]"
Alaiche,"[[0, 7, 'LOCATION']]"
Alaichebari,"[[0, 11, 'LOCATION']]"
Alaichikhola Gaun,"[[0, 17, 'LOCATION']]"
Alaichikholagaun,"[[0, 16, 'LOCATION']]"
Alaiechegaun,"[[0, 12, 'LOCATION']]"
Alainche,"[[0, 8, 'LOCATION']]"
Alainchebari,"[[0, 12, 'LOCATION']]"
Alainchephant,"[[0, 13, 'LOCATION']]"
Alait Bada,"[[0, 10, 'LOCATION']]"
Alaktoki,"[[0, 8, 'LOCATION']]"
Alamdanda,"[[0, 9, 'LOCATION']]"
Alampu,"[[0, 6, 'LOCATION']]"
Alampur,"[[0, 7, 'LOCATION']]"
Alanagar,"[[0, 8, 'LOCATION']]"
Alapot,"[[0, 6, 'LOCATION']]"
Alapur,"[[0, 6, 'LOCATION']]"
Alau,"[[0, 4, 'LOCATION']]"
Alauda,"[[0, 6, 'LOCATION']]"
Alaudada,"[[0, 8, 'LOCATION']]"
Alayechaur,"[[0, 10, 'LOCATION']]"
Alban,"[[0, 5, 'LOCATION']]"
Albot,"[[0, 5, 'LOCATION']]"
Alchet,"[[0, 6, 'LOCATION']]"
Alchhe,"[[0, 6, 'LOCATION']]"
Alchhi,"[[0, 6, 'LOCATION']]"
Alchhidhunga,"[[0, 12, 'LOCATION']]"
Alchhiyabari,"[[0, 12, 'LOCATION']]"
Alchidanda,"[[0, 10, 'LOCATION']]"
Aldamar,"[[0, 7, 'LOCATION']]"
Aldanda,"[[0, 7, 'LOCATION']]"
Aldangi,"[[0, 7, 'LOCATION']]"
Ale,"[[0, 3, 'LOCATION']]"
